Symbol,Company Name,Industry,Market Cap
COKE,Coca-Cola Consolidated,Beverages,5390434171
COLB,Columbia Banking System,Banks,2345026788
COLD,Americold Realty Trust,Equity Real Estate Investment Trusts ...,8323773417
COLI,Colicity,Blank Check / SPAC,422629302
COLL,Collegium Pharmaceutical,Pharmaceuticals,616955128
COLM,Columbia Sportswear Company,"Textiles, Apparel & Luxury Goods",4495119343
COMM,CommScope Holding Company,Communications Equipment,1239420797
COMP,Compass,Software-Application,1712133756
COMS,ComSovereign Holding,Telecom Services,12909421
CONN,Conn's,Specialty Retail,190778974
CONX,CONX Corp.,Blank Check / SPAC,928421950
COO,The Cooper Companies,Health Care Equipment & Supplies,15714168615
COOK,Traeger,"Furnishings, Fixtures & Appliances",531953982
COOL,Corner Growth Acquisition,Blank Check / SPAC,492999960
COOP,Mr. Cooper Group,Thrifts & Mortgage Finance,2785520607
COP,ConocoPhillips,"Oil, Gas & Consumable Fuels",1.17678E+11
CORR,CorEnergy Infrastructure Trust,Equity Real Estate Investment Trusts ...,41636907
CORS,Corsair Partnering,Blank Check / SPAC,289413975
CORT,Corcept Therapeutics,Pharmaceuticals,2703025389
CORZ,Core Scientific,Software-Infrastructure,491361534
COSM,Cosmos Holdings,Health Care Providers & Services,7599994
COST,Costco Wholesale,Food & Staples Retailing,2.15174E+11
COTY,Coty Inc.,Personal Products,6520514046
COUP,Coupa Software,Software,4493006313
COUR,Coursera,Education & Training Services,2100263667
COVA,COVA Acquisition,Blank Check / SPAC,368437500
COWN,Cowen,Capital Markets,667653304
CP,Canadian Pacific Railway,Road & Rail,66485919714
CPA,Copa Holdings,Airlines,2687028969
CPAA,Conyers Park III Acquisition,Blank Check / SPAC,432460855
CPAC,Cementos Pacasmayo,Construction Materials,411410812
CPAQ,Counter Press Acquisition,Blank Check / SPAC,72299341
CPAR,Catalyst Partners Acquisition,Blank Check / SPAC,439463900
CPB,Campbell Soup Company,Food Products,14574930918
CPE,Callon Petroleum Company,"Oil, Gas & Consumable Fuels",2422558446
CPF,Central Pacific Financial,Banks,608619262
CPG,Crescent Point Energy,"Oil, Gas & Consumable Fuels",4157438970
CPHC,Canterbury Park Holding,"Hotels, Restaurants & Leisure",131290181
CPHI,China Pharma Holdings,Pharmaceuticals,10514910
CPIX,Cumberland Pharmaceuticals,Pharmaceuticals,31009647
CPK,Chesapeake Utilities,Gas Utilities,2341067238
CPLP,Capital Product Partners,"Oil, Gas & Consumable Fuels",287214713
CPNG,Coupang,Internet & Direct Marketing Retail,26506946553
CPOP,Pop Culture Group ,Entertainment,36315500
CPRI,Capri Holdings,"Textiles, Apparel & Luxury Goods",5888014822
CPRT,Copart,Commercial Services & Supplies,26184433638
CPRX,Catalyst Pharmaceuticals,Biotechnology,725626814
CPS,Cooper-Standard Holdings,Auto Components,87020790
CPSH,CPS Technologies,"Electronic Equipment, Instruments & C...",45307060
CPSI,Computer Programs & Systems,Health Care Technology,479232915
CPSS,Consumer Portfolio Services,Consumer Finance,224352889
CPT,Camden Property Trust,Equity Real Estate Investment Trusts ...,14493247396
CPTK,Crown PropTech Acquisitions,Blank Check / SPAC,338789980
CPTN,Cepton,Software-Application,237233920
CPUH,Compute Health Acquisition,Blank Check / SPAC,1058713790
CQP,Cheniere Energy Partners LP,"Oil, Gas & Consumable Fuels",21350430705
CR,Crane Co.,Machinery,4945741737
CRAI,CRA International,Professional Services,657251243
CRBP,Corbus Pharmaceuticals Holdings,Biotechnology,32353625
CRBU,Caribou Biosciences,Biotechnology,324166846
CRC,California Resources,"Oil, Gas & Consumable Fuels",3088153064
CRCT,Cricut,Computer Hardware,1364174463
CRD.A,Crawford & Company,Insurance Brokers,357526618
CRD.B,Crawford & Company,Insurance Brokers,357526266
CRDF,Cardiff Oncology,Biotechnology,100903206
CRDL,Cardiol Therapeutics,Drug Manufacturers-Specialty & Generic,82983520
CRDO,Credo Technology Group Holding,Communication Equipment,1640482171
CREC,Crescera Capital Acquisition,Blank Check / SPAC,266454669
CREG,China Recycling Energy,Commercial Services & Supplies,21900817
CRESY,Cresud SACIF y A.,Real Estate Management & Development,598379390
CREX,Creative Realities,Media,13365507
CRGE,Charge Enterprises,Information Technology Services,924848443
CRGY,Crescent Energy Company,Oil & Gas E&P,2122027507
CRH,CRH Plc,Construction Materials,26587783139
CRHC,Cohn Robbins Holdings,Shell Companies,1028789950
CRI,Carter's,"Textiles, Apparel & Luxury Goods",2852645350
CRIS,Curis,Biotechnology,86164999
CRK,Comstock Resources,"Oil, Gas & Consumable Fuels",2971880700
CRKN,Crown ElectroKinetics,Specialty Chemicals,14146771
CRL,Charles River Laboratories International,Life Sciences Tools & Services,11117636485
CRM,Salesforce.com,Software,1.67359E+11
CRMD,CorMedix,Pharmaceuticals,149842239
CRMT,America's Car-Mart,Specialty Retail,647648047
CRNC,Cerence,Software,1014865402
CRNT,Ceragon Networks,Communications Equipment,213364302
CRNX,Crinetics Pharmaceuticals,Biotechnology,1008584311
CRON,Cronos Group,Pharmaceuticals,1074155902
CROX,Crocs,"Textiles, Apparel & Luxury Goods",2952530935
CRS,Carpenter Technology,Metals & Mining,1322833640
CRSP,CRISPR Therapeutics AG,Biotechnology,4940988919
CRSR,Corsair Gaming,"Technology Hardware, Storage & Periph...",1260232692
CRT,Cross Timbers Royalty Trust,"Oil, Gas & Consumable Fuels",90660000
CRTD,Creatd,Internet Content & Information,14072097
CRTO,Criteo,Media,1439473905
CRTX,Cortexyme,Biotechnology,91100016
CRU,Crucible Acquisition,Blank Check / SPAC,318101273
CRUS,Cirrus Logic,Semiconductors & Semiconductor Equipment,3893436859
CRVL,CorVel,Health Care Providers & Services,2655112073
CRVS,Corvus Pharmaceuticals,Biotechnology,47019035
CRWD,CrowdStrike Holdings,Software,41598906358
CRWS,Crown Crafts,"Textiles, Apparel & Luxury Goods",63233948
CRXT,Clarus Therapeutics Holdings,Drug Manufacturers-General,19934331
CRZN,Corazon Capital V838 Monoceros,Blank Check / SPAC,249144502
CS,Credit Suisse Group AG,Capital Markets,14569769982
CSBR,Champions Oncology,Life Sciences Tools & Services,105204272
CSCO,Cisco Systems,Communications Equipment,1.76405E+11
CSCW,Color Star Technology Co.,Entertainment,23304906
CSGP,CoStar Group,Professional Services,24296515528
CSGS,CSG Systems International,IT Services,1949193471
CSII,Cardiovascular Systems,Health Care Equipment & Supplies,594238907
CSIQ,Canadian Solar,Semiconductors & Semiconductor Equipment,2000045056
CSL,Carlisle Companies,Industrial Conglomerates,12469677958
CSLM,Consilium Acquisition Corp I,Blank Check / SPAC,231969854
CSPI,CSP Inc.,IT Services,40571871
CSR,Centerspace,"Electronic Equipment, Instruments & C...",1349562421
CSSE,Chicken Soup for the Soul Entertainment,Entertainment,107834140
CSTA,Constellation Acquisition I,Blank Check / SPAC,380912509
CSTE,Caesarstone,Building Products,319592538
CSTL,Castle Biosciences,Biotechnology,591132859
CSTM,Constellium SE,Metals & Mining,1880053750
CSTR,CapStar Financial Holdings,Banks,434481528
CSV,Carriage Services,Diversified Consumer Services,598988452
CSWC,Capital Southwest,Capital Markets,480664728
CSWI,CSW Industrials,Building Products,1643555712
CSX,CSX Corporation,Road & Rail,63792787431
CTAQ,Carney Technology Acquisition II,Blank Check / SPAC,504443134
CTAS,Cintas,Commercial Services & Supplies,38546849619
CTBI,Community Trust Bancorp,Banks,742471848
CTEK,CynergisTek,Health Care Providers & Services,15642786
CTG,Computer Task Group,IT Services,129350308
CTGO,Contango ORE,Metals & Mining,162477403
CTHR,Charles & Colvard,"Textiles, Apparel & Luxury Goods",39281664
CTIB,Yunhong CTI,Household Durables,4314985
CTIC,CTI BioPharma,Biotechnology,662519360
CTKB,Cytek Biosciences,Medical Devices,1472070392
CTLP,Cantaloupe,Information Technology Services,403199358
CTLT,Catalent,Pharmaceuticals,19179374510
CTMX,CytomX Therapeutics,Biotechnology,120333056
CTO,CTO Realty Growth,Real Estate Management & Development,124609513
CTOS,Custom Truck One Source,Trading Companies & Distributors,1280040315
CTRA,Coterra Energy,"Oil, Gas & Consumable Fuels",21216845807
CTRE,CareTrust REIT,Equity Real Estate Investment Trusts ...,1848396792
CTRM,Castor Maritime,Marine,125831431
CTRN,Citi Trends,Specialty Retail,193010223
CTS,CTS Corporation,"Electronic Equipment, Instruments & C...",1095497976
CTSH,Cognizant Technology Solutions,IT Services,35455467492
CTSO,CytoSorbents,Health Care Equipment & Supplies,87559823
CTT,CatchMark Timber Trust,Equity Real Estate Investment Trusts ...,503549630
CTV,Innovid,Advertising Agencies,223235486
CTVA,Corteva,Chemicals,39166640103
CTXR,Citius Pharmaceuticals,Pharmaceuticals,130654831
CTXS,Citrix Systems,Software,12395979693
CUBE,CubeSmart,Equity Real Estate Investment Trusts ...,9846893558
CUBI,Customers Bancorp,Banks,1144447605
CUE,Cue Biopharma,Biotechnology,86661887
CUEN,Cuentas,Diversified Telecommunication Services,9377507
CUK,Carnival,"Hotels, Restaurants & Leisure",9571745788
CULL,Cullman Bancorp,Banks,83020015
CULP,"Culp, Inc.","Textiles, Apparel & Luxury Goods",51850955
CURI,CuriosityStream,Broadcasting,89713935
CURO,CURO Group Holdings,Consumer Finance,226358462
CURV,Torrid Holdings,Apparel Retail,438541020
CUTR,Cutera,Health Care Equipment & Supplies,681854073
CUZ,Cousins Properties,Equity Real Estate Investment Trusts ...,4410852333
CVAC,CureVac,Biotechnology,2664602869
CVBF,CVB Financial,Banks,3547583223
CVCO,Cavco Industries,Household Durables,1794382779
CVCY,Central Valley Community Bancorp,Banks,173361880
CVE,Cenovus Energy,"Oil, Gas & Consumable Fuels",37693825023
CVEO,Civeo,Commercial Services & Supplies,362327884
CVET,Covetrus,Health Care Providers & Services,2908950258
CVGI,Commercial Vehicle Group,Machinery,182191391
CVGW,Calavo Growers,Food Products,745877884
CVI,CVR Energy,"Oil, Gas & Consumable Fuels",3381862638
CVII,Churchill Capital VII,Blank Check / SPAC,1686187382
CVLG,Covenant Logistics Group,Road & Rail,394936270
CVLT,Commvault Systems,Software,2858134736
CVLY,Codorus Valley Bancorp,Banks,215144927
CVM,Cel-Sci,Biotechnology,177640687
CVNA,Carvana Co.,Specialty Retail,3884112109
CVR,Chicago Rivet & Machine Co.,Machinery,27525072
CVRX,"CVRx, Inc.",Medical Devices,125461224
CVS,CVS Health,Health Care Providers & Services,1.23184E+11
CVT,Cvent Holding,Software-Application,2411433470
CVV,CVD Equipment,Semiconductors & Semiconductor Equipment,25569972
CVX,Chevron,"Oil, Gas & Consumable Fuels",2.87864E+11
CW,Curtiss-Wright,Aerospace & Defense,5132844953
CWAN,Clearwater Analytics Holdings,Software-Application,3562044411
CWBC,Community West Bancshares,Banks,121558920
CWBR,CohBar,Biotechnology,17839945
CWCO,Consolidated Water Co.,Water Utilities,227448240
CWEN,Clearway Energy,Independent Power and Renewable Elect...,6969085408
CWEN.A,Clearway Energy,Independent Power and Renewable Elect...,6969098733
CWH,Camping World Holdings,Specialty Retail,913430069
CWK,Cushman & Wakefield,Real Estate Management & Development,3538581499
CWST,Casella Waste Systems,Commercial Services & Supplies,3789247732
CWT,California Water Service Group,Water Utilities,3065061114
CX,CEMEX,Construction Materials,5720017918
CXAC,C5 Acquisition,Blank Check / SPAC,359015615
CXDO,Crexendo,IT Services,68396853
CXM,Sprinklr,Software-Application,2609896439
CXW,CoreCivic,Equity Real Estate Investment Trusts ...,1323354109
CYAD,Celyad Oncology,Biotechnology,39087620
CYAN,Cyanotech,Personal Products,18610920
CYBE,CyberOptics,Semiconductors & Semiconductor Equipment,235511028
CYBN,Cybin,Biotechnology,93469823
CYBR,CyberArk Software,Software,5326913529
CYCC,Cyclacel Pharmaceuticals,Biotechnology,11094438
CYCN,Cyclerion Therapeutics,Biotechnology,25200072
CYD,China Yuchai International,Machinery,368541884
CYH,Community Health Systems,Health Care Providers & Services,542816828
CYN,Cyngn,Software-Application,43312135
CYRN,Cyren,Software,15559200
CYRX,CryoPort,Health Care Equipment & Supplies,1557331687
CYT,Cyteir Therapeutics,Biotechnology,107643360
CYTH,Cyclo Therapeutics,Drug Manufacturers-Specialty & Generic,17001428
CYTK,Cytokinetics,Biotechnology,3511740159
CYTO,Altamira Therapeutics,Biotechnology,7494209
CYXT,Cyxtera Technologies,Information Technology Services,2042795005
CZNC,Citizens & Northern,Banks,377643420
CZOO,Cazoo Group,Software-Application,560686527
CZR,Caesars Entertainment,"Hotels, Restaurants & Leisure",8259521517
CZWI,Citizens Community Bancorp,Banks,143857544
D,Dominion Energy,Multi-Utilities,65907572687
DAC,Danaos,Marine,1282558453
DADA,Dada Nexus,Internet & Direct Marketing Retail,2259204351
DAIO,Data I/O,"Electronic Equipment, Instruments & C...",26217473
DAKT,Daktronics,"Electronic Equipment, Instruments & C...",131048358
DAL,Delta Air Lines,Airlines,18924031982
DALN,DallasNews,Media,33827730
DALS,DA32 Life Science Tech Acquisition,Blank Check / SPAC,248804990
DAN,Dana Incorporated,Auto Components,2081020146
DAO,Youdao,Diversified Consumer Services,612209340
DAOO,Crypto 1 Acquisition,Blank Check / SPAC,284912470
DAR,Darling Ingredients,Food Products,10114005991
DARE,Dare Bioscience,Health Care Equipment & Supplies,100806447
DASH,DoorDash,Internet & Direct Marketing Retail,23867434985
DATS,DatChat,Software-Application,20969219
DAVA,Endava,IT Services,4983474633
DAVE,Dave Inc.,Software-Application,257927519
DAWN,Day One Biopharmaceuticals,Biotechnology,1434642544
DB,Deutsche Bank AG,Capital Markets,17484873726
DBD,Diebold Nixdorf,"Technology Hardware, Storage & Periph...",182417694
DBGI,Digital Brands Group,Apparel Retail,10553267
DBI,Designer Brands,Specialty Retail,896300991
DBRG,DigitalBridge Group,REIT-Diversified,3342922494
DBTX,Decibel Therapeutics,Biotechnology,102853735
DBVT,DBV Technologies,Biotechnology,448576702
DBX,Dropbox,Software,8225727468
DC,Dakota Gold,Gold,114394137
DCBO,Docebo,Software-Application,944239465
DCFC,Tritium DCFC,Electrical Equipment & Parts,829885499
DCGO,DocGo,Medical Care Facilities,729884092
DCI,Donaldson Company,Machinery,5967601620
DCO,Ducommun,Aerospace & Defense,527780538
DCOM,Dime Community Bancshares,Thrifts & Mortgage Finance,1182805118
DCP,DCP Midstream LP,"Oil, Gas & Consumable Fuels",6188975604
DCPH,Deciphera Pharmaceuticals,Biotechnology,878030776
DCRD,Decarbonization Plus Acquisition IV,Blank Check / SPAC,392347160
DCT,Duck Creek Technologies,Software,1903719545
DCTH,Delcath Systems,Medical Devices,30836247
DD,DuPont de Nemours,Chemicals,27841853414
DDD,3D Systems,"Technology Hardware, Storage & Periph...",1256458358
DDI,DoubleDown Interactive Co.,Electronic Gaming & Multimedia,492565721
DDL,Dingdong (Cayman),Grocery Stores,1185866618
DDOG,Datadog,Software,31832467445
DDS,Dillard's,Multiline Retail,3679892790
DE,Deere & Company,Machinery,92188991204
DEA,Easterly Government Properties,Equity Real Estate Investment Trusts ...,3437516798
DECA,Denali Capital Acquisition,Blank Check / SPAC,107359200
DECK,Deckers Outdoor,"Textiles, Apparel & Luxury Goods",6554684833
DEI,Douglas Emmett,Equity Real Estate Investment Trusts ...,4726641645
DELL,Dell Technologies,"Technology Hardware, Storage & Periph...",31607001072
DEN,Denbury,"Oil, Gas & Consumable Fuels",3088626896
DENN,Denny's,"Hotels, Restaurants & Leisure",559732347
DEO,Diageo,Beverages,98431205209
DERM,Journey Medical,Drug Manufacturers-Specialty & Generic,63625340
DESP,Despegar.com,Internet & Direct Marketing Retail,545136254
DFFN,Diffusion Pharmaceuticals,Biotechnology,13801247
DFH,Dream Finders Homes,Residential Construction,1035194870
DFIN,Donnelley Financial Solutions,Capital Markets,949555381
DFS,Discover Financial Services,Consumer Finance,27447470068
DG,Dollar General,Multiline Retail,55920709471
DGICA,Donegal Group,Insurance,536617840
DGICB,Donegal Group,Insurance,536620635
DGII,Digi International,Communications Equipment,832562304
DGLY,Digital Ally,"Electronic Equipment, Instruments & C...",38273920
DGNU,Dragoneer Growth Opportunities III,Blank Check / SPAC,524348030
DGX,Quest Diagnostics,Health Care Providers & Services,16041447379
DH,Definitive Healthcare,Health Information Services,2294049772
DHAC,Digital Health Acquisition,Blank Check / SPAC,149767949
DHBC,DHB Capital,Blank Check / SPAC,352546875
DHC,Diversified Healthcare Trust,Equity Real Estate Investment Trusts ...,451687327
DHCA,DHC Acquisition,Blank Check / SPAC,379076730
DHHC,DiamondHead Holdings,Blank Check / SPAC,423918750
DHI,D.R. Horton,Household Durables,24673781718
DHIL,Diamond Hill Investment Group,Capital Markets,557609904
DHR,Danaher,Health Care Equipment & Supplies,1.87622E+11
DHT,DHT Holdings,"Oil, Gas & Consumable Fuels",1014137980
DHX,DHI Group,Interactive Media & Services,235251451
DIBS,1stdibs.com,Internet Retail,218505148
DICE,DICE Therapeutics,Biotechnology,617785471
DILA,DILA Capital Acquisition,Blank Check / SPAC,74657878
DIN,Dine Brands Global,"Hotels, Restaurants & Leisure",1130524922
DINO,HF Sinclair,"Oil, Gas & Consumable Fuels",10190449636
DIOD,Diodes,Semiconductors & Semiconductor Equipment,2757822935
DIS,The Walt Disney Company,Entertainment,1.75117E+11
DISA,Disruptive Acquisition I,Blank Check / SPAC,336531259
DISH,DISH Network,Media,9736045551
DIT,AMCON Distributing Company,Distributors,96659608
DJCO,Daily Journal,Media,367279234
DK,Delek US Holdings,"Oil, Gas & Consumable Fuels",1886064499
DKDCA,Data Knights Acquisition,Blank Check / SPAC,153491641
DKL,Delek Logistics Partners LP,"Oil, Gas & Consumable Fuels",2183688923
DKNG,DraftKings Holdings,"Hotels, Restaurants & Leisure",5147527157
DKS,Dick's Sporting Goods,Specialty Retail,6188522467
DLA,Delta Apparel,"Textiles, Apparel & Luxury Goods",196930975
DLB,Dolby Laboratories,"Electronic Equipment, Instruments & C...",7145383899
DLCA,Deep Lake Capital Acquisition,Blank Check / SPAC,254610000
DLHC,DLH Holdings,Professional Services,191313640
DLNG,Dynagas LNG Partners,"Oil, Gas & Consumable Fuels",117767040
DLO,DLocal,Software-Infrastructure,7821192173
DLPN,Dolphin Entertainment,Entertainment,30670501
DLR,Digital Realty Trust,Equity Real Estate Investment Trusts ...,38284914566
DLTH,Duluth Holdings,Internet & Direct Marketing Retail,322588279
DLTR,Dollar Tree,Multiline Retail,35091365807
DLX,Deluxe,Commercial Services & Supplies,956970733
DM,Desktop Metal,Computer Hardware,658268030
DMAC,DiaMedica Therapeutics,Biotechnology,54737214
DMAQ,Deep Medicine Acquisition,Blank Check / SPAC,164003326
DMLP,Dorchester Minerals,"Oil, Gas & Consumable Fuels",917463739
DMRC,Digimarc,Software,282961371
DMS,Digital Media Solutions,Advertising Agencies,42227712
DMTK,DermTech,Biotechnology,165272112
DMYS,"dMY Technology Group, Inc. VI",Blank Check / SPAC,295233720
DNA,Ginkgo Bioworks Holdings,Biotechnology,4228403454
DNAA,Social Capital Suvretta Holdings I,Shell Companies,316667709
DNAB,Social Capital Suvretta Holdings II,Blank Check / SPAC,309651900
DNAC,Social Capital Suvretta Holdings III,Shell Companies,313159770
DNAD,Social Capital Suvretta Holdings IV,Blank Check / SPAC,309651909
DNAY,Codex DNA,Medical Devices,54681211
DNB,Dun & Bradstreet Holdings,Professional Services,6554622964
DNLI,Denali Therapeutics,Biotechnology,3840895457
DNMR,Danimer Scientific,Specialty Chemicals,477262781
DNN,Denison Mines,"Oil, Gas & Consumable Fuels",850500543
DNOW,NOW Inc.,Trading Companies & Distributors,1073877241
DNUT,Krispy Kreme,Grocery Stores,2275239159
DNZ,D & Z Media Acquisition,Blank Check / SPAC,352546875
DO,Diamond Offshore Drilling,Energy Equipment & Services,609456750
DOC,Physicians Realty Trust,Equity Real Estate Investment Trusts ...,4136924925
DOCN,DigitalOcean Holdings,Software-Infrastructure,4241234166
DOCS,Doximity,Health Information Services,7025013213
DOCU,DocuSign,Software,12240572414
DOGZ,Dogness (International),"Textiles, Apparel & Luxury Goods",70300991
DOLE,Dole plc,Farm Products,841565181
DOMA,Doma Holdings,Shell Companies,282952319
DOMO,"Domo, Inc.",Software,945738728
DOOO,BRP Inc.,Leisure Products,4841474045
DOOR,Masonite International,Building Products,1777896271
DORM,Dorman Products,Auto Components,3508990156
DOUG,Douglas Elliman,Real Estate Services,424862172
DOV,Dover,Machinery,17646993319
DOW,Dow Inc.,Chemicals,37635592173
DOX,Amdocs,IT Services,10373837746
DOYU,DouYu International Holdings,Entertainment,400029823
DPCS,DP Cap Acquisition I,Blank Check / SPAC,285487519
DPRO,Draganfly,Aerospace & Defense,32209991
DPSI,DecisionPoint Systems,IT Services,28595674
DPZ,Domino's Pizza,"Hotels, Restaurants & Leisure",14548162407
DQ,Daqo New Energy,Semiconductors & Semiconductor Equipment,5266892761
DRAY,Macondray Capital Acquisition I,Blank Check / SPAC,356140605
DRCT,Direct Digital Holdings,Advertising Agencies,3584000
DRD,DRDGOLD,Metals & Mining,510495708
DRE,Duke Realty,Equity Real Estate Investment Trusts ...,21837916124
DRH,DiamondRock Hospitality Company,Equity Real Estate Investment Trusts ...,1735193726
DRI,Darden Restaurants,"Hotels, Restaurants & Leisure",14263332785
DRIO,DarioHealth,Health Care Equipment & Supplies,130380532
DRMA,Dermata Therapeutics,Biotechnology,4733558
DRQ,Dril-Quip,Energy Equipment & Services,873328119
DRRX,DURECT,Pharmaceuticals,102835447
DRTS,Alpha Tau Medical,Biotechnology,518400382
DRTT,DIRTT Environmental Solutions,Building Products,94454023
DRUG,Bright Minds Biosciences,Biotechnology,9472588
DRVN,Driven Brands Holdings,Auto & Truck Dealerships,4685198843
DS,Drive Shack,"Hotels, Restaurants & Leisure",121948207
DSAC,Duddell Street Acquisition,Blank Check / SPAC,217000000
DSAQ,Direct Selling Acquisition,Blank Check / SPAC,288075000
DSEY,Diversey Holdings,Personal Services,2103999615
DSGN,Design Therapeutics,Biotechnology,785974016
DSGR,Distribution Solutions Group,Trading Companies & Distributors,999356535
DSGX,The Descartes Systems Group,Software,5352262597
DSKE,Daseke,Road & Rail,406107520
DSP,Viant Technology,Software-Application,310660796
DSS,"DSS, Inc.",Commercial Services & Supplies,34237368
DSWL,Deswell Industries,"Electronic Equipment, Instruments & C...",49558472
DSX,Diana Shipping,Marine,395393179
DT,Dynatrace,Software,11763431388
DTC,Solo Brands,Internet Retail,264381340
DTE,DTE Energy Company,Multi-Utilities,25023330273
DTEA,DAVIDsTEA,Specialty Retail,44691543
DTIL,Precision BioSciences,Biotechnology,114473983
DTM,DT Midstream,Oil & Gas Midstream,4810581969
DTOC,Digital Transformation Opportunities,Blank Check / SPAC,407703740
DTRT,DTRT Health Acquisition,Blank Check / SPAC,289368729
DTSS,Datasea,Software,41339654
DTST,Data Storage,Information Technology Services,16943736
DUET,DUET Acquisition,Blank Check / SPAC,111674400
DUK,Duke Energy,Electric Utilities,84396441507
DUNE,Dune Acquisition,Blank Check / SPAC,214018583
DUO,Fangdd Network Group,Interactive Media & Services,10695798
DUOL,Duolingo,Software-Application,3722673082
DUOT,Duos Technologies Group,Software,25051354
DV,DoubleVerify Holdings,Software-Application,3861941237
DVA,DaVita,Health Care Providers & Services,7862205916
DVAX,Dynavax Technologies,Biotechnology,1637003507
DVN,Devon Energy,"Oil, Gas & Consumable Fuels",36372598732
DWAC,Digital World Acquisition,Blank Check / SPAC,900595764
DWIN,Delwinds Insurance Acquisition,Blank Check / SPAC,161119596
DWSN,Dawson Geophysical Company,Energy Equipment & Services,33456278
DX,Dynex Capital,Mortgage Real Estate Investment Trust...,661356080
DXC,DXC Technology Company,IT Services,6875871208
DXCM,DexCom,Health Care Equipment & Supplies,30470084588
DXF,Dunxin Financial Holdings,Diversified Financial Services,9646190
DXLG,Destination XL Group,Specialty Retail,214240092
DXPE,DXP Enterprises,Trading Companies & Distributors,582954102
DXR,Daxor,Health Care Equipment & Supplies,56079362
DXYN,The Dixie Group,Household Durables,21179928
DY,Dycom Industries,Construction & Engineering,2780252160
DYAI,Dyadic International,Biotechnology,85923168
DYN,Dyne Therapeutics,Independent Power and Renewable Elect...,371905178
DYNT,Dynatronics,Health Care Equipment & Supplies,11102781
DZSI,"DZS, Inc.",Communications Equipment,441030714
E,Eni SpA,"Oil, Gas & Consumable Fuels",41981554667
EA,Electronic Arts,Entertainment,34279225257
EAC,Edify Acquisition,Blank Check / SPAC,338100000
EAF,GrafTech International,Electrical Equipment,1876215040
EAR,Eargo,Medical Devices,29782651
EARN,Ellington Residential Mortgage REIT,Mortgage Real Estate Investment Trust...,101077321
EAST,Eastside Distilling,Beverages,10547202
EAT,Brinker International,"Hotels, Restaurants & Leisure",989932015
EB,Eventbrite,Interactive Media & Services,1019827192
EBAC,European Biotech Acquisition,Blank Check / SPAC,160706280
EBAY,eBay Inc.,Internet & Direct Marketing Retail,24011622393
EBC,Eastern Bankshares,Banks,3468998382
EBET,"EBET, INC.",Gambling,36608127
EBF,Ennis,Commercial Services & Supplies,520631167
EBIX,"Ebix, Inc.",Software,519509654
EBMT,Eagle Bancorp Montana,Banks,158753464
EBON,Ebang International Holdings,Computer Hardware,79597327
EBR,Centrais Eletricas Brasileiras,Electric Utilities,19198754815
EBS,Emergent BioSolutions,Biotechnology,1599253756
EBTC,Enterprise Bancorp,Banks,395797530
EC,Ecopetrol,"Oil, Gas & Consumable Fuels",22778597375
ECC,Eagle Point Credit Company,Securities and Commodity Exchanges,489392214
ECL,Ecolab,Chemicals,45039222746
ECOM,ChannelAdvisor,Software,446165726
ECOR,electroCore,Health Care Equipment & Supplies,35972031
ECPG,Encore Capital Group,Consumer Finance,1427186385
ECVT,Ecovyst,Specialty Chemicals,1380035070
ED,Consolidated Edison,Multi-Utilities,34451644341
EDAP,EDAP TMS,Health Care Equipment & Supplies,220876253
EDBL,Edible Garden AG,Farm Products,9976828
EDIT,Editas Medicine,Biotechnology,864191486
EDN,Empresa Distribuidora y Comercializadora Norte,Electric Utilities,385862237
EDNC,Endurance Acquisition,Blank Check / SPAC,246999990
EDR,Endeavor Group Holdings,Entertainment,6200135162
EDRY,EuroDry,Marine,53120878
EDSA,Edesa Biotech,Biotechnology,24739680
EDTK,Skillful Craftsman Education Technology,Education & Training Services,15198000
EDTX,EdtechX Holdings Acquisition II,Blank Check / SPAC,146193739
EDU,New Oriental Education & Technology Group,Diversified Consumer Services,3429575925
EDUC,Educational Development,Distributors,36540084
EE,Excelerate Energy,Utilities-Renewable,2074568179
EEFT,Euronet Worldwide,IT Services,4998939043
EEIQ,Elite Education Group International,Diversified Consumer Services,18666557
EEX,Emerald Holding,Media,269301085
EFC,Ellington Financial,Mortgage Real Estate Investment Trust...,909096440
EFOI,Energy Focus,Electrical Equipment,9320988
EFSC,Enterprise Financial Services,Banks,1566390108
EFTR,eFFECTOR Therapeutics,Biotechnology,53834971
EFX,Equifax,Professional Services,22821594996
EGAN,eGain,Software,318526208
EGBN,Eagle Bancorp,Banks,1557493612
EGGF,EG Acquisition,Blank Check / SPAC,273656220
EGHT,"8x8, Inc.",Software,618135229
EGIO,Edgio,Software-Infrastructure,307648560
EGLE,Eagle Bulk Shipping,Marine,647674170
EGLX,Enthusiast Gaming Holdings,Internet Content & Information,296966367
EGO,Eldorado Gold,Metals & Mining,1204139647
EGP,EastGroup Properties,Equity Real Estate Investment Trusts ...,6838531033
EGRX,Eagle Pharmaceuticals,Biotechnology,616989627
EGY,VAALCO Energy,"Oil, Gas & Consumable Fuels",405246461
EH,EHang Holdings,Aerospace & Defense,528723675
EHC,Encompass Health,Health Care Providers & Services,4644538836
EHTH,eHealth,Insurance,258434522
EIC,Eagle Point Income Company,Securities and Commodity Exchanges,0
EIG,Employers Holdings,Insurance,1173057020
EIGR,Eiger BioPharmaceuticals,Biotechnology,276583040
EIX,Edison International,Electric Utilities,24301500382
